"STATISTIC","Statistic","TLIST(Q1)","Quarter","C02343V02817","Area","UNIT","VALUE"
"HSQ06C1","New House Prices","19751","1975Q1","-","National","Euro","11887"
"HSQ06C1","New House Prices","19751","1975Q1","01","Dublin","Euro","11858"
"HSQ06C1","New House Prices","19751","1975Q1","02","Cork","Euro","10667"
"HSQ06C1","New House Prices","19751","1975Q1","03","Galway","Euro","13519"
"HSQ06C1","New House Prices","19751","1975Q1","04","Limerick","Euro","12565"
"HSQ06C1","New House Prices","19751","1975Q1","05","Waterford","Euro","11090"
"HSQ06C1","New House Prices","19751","1975Q1","06","Other areas","Euro","11428"
"HSQ06C1","New House Prices","19752","1975Q2","-","National","Euro","12837"
"HSQ06C1","New House Prices","19752","1975Q2","01","Dublin","Euro","12804"
"HSQ06C1","New House Prices","19752","1975Q2","02","Cork","Euro","12131"
"HSQ06C1","New House Prices","19752","1975Q2","03","Galway","Euro","14306"
"HSQ06C1","New House Prices","19752","1975Q2","04","Limerick","Euro","12714"
"HSQ06C1","New House Prices","19752","1975Q2","05","Waterford","Euro","12366"
"HSQ06C1","New House Prices","19752","1975Q2","06","Other areas","Euro","12956"
"HSQ06C1","New House Prices","19753","1975Q3","-","National","Euro","13269"
"HSQ06C1","New House Prices","19753","1975Q3","01","Dublin","Euro","13153"
"HSQ06C1","New House Prices","19753","1975Q3","02","Cork","Euro","12567"
"HSQ06C1","New House Prices","19753","1975Q3","03","Galway","Euro","14248"
"HSQ06C1","New House Prices","19753","1975Q3","04","Limerick","Euro","13643"
"HSQ06C1","New House Prices","19753","1975Q3","05","Waterford","Euro","12526"
"HSQ06C1","New House Prices","19753","1975Q3","06","Other areas","Euro","13521"
"HSQ06C1","New House Prices","19754","1975Q4","-","National","Euro","13892"
"HSQ06C1","New House Prices","19754","1975Q4","01","Dublin","Euro","13835"
"HSQ06C1","New House Prices","19754","1975Q4","02","Cork","Euro","14194"
"HSQ06C1","New House Prices","19754","1975Q4","03","Galway","Euro","15176"
"HSQ06C1","New House Prices","19754","1975Q4","04","Limerick","Euro","13337"
"HSQ06C1","New House Prices","19754","1975Q4","05","Waterford","Euro","13516"
"HSQ06C1","New House Prices","19754","1975Q4","06","Other areas","Euro","13812"
"HSQ06C1","New House Prices","19761","1976Q1","-","National","Euro","14738"
"HSQ06C1","New House Prices","19761","1976Q1","01","Dublin","Euro","14770"
"HSQ06C1","New House Prices","19761","1976Q1","02","Cork","Euro","13829"
"HSQ06C1","New House Prices","19761","1976Q1","03","Galway","Euro","17086"
"HSQ06C1","New House Prices","19761","1976Q1","04","Limerick","Euro","14776"
"HSQ06C1","New House Prices","19761","1976Q1","05","Waterford","Euro","14066"
"HSQ06C1","New House Prices","19761","1976Q1","06","Other areas","Euro","14650"
"HSQ06C1","New House Prices","19762","1976Q2","-","National","Euro","15250"
"HSQ06C1","New House Prices","19762","1976Q2","01","Dublin","Euro","15116"
"HSQ06C1","New House Prices","19762","1976Q2","02","Cork","Euro","16185"
"HSQ06C1","New House Prices","19762","1976Q2","03","Galway","Euro","17892"
"HSQ06C1","New House Prices","19762","1976Q2","04","Limerick","Euro","15279"
"HSQ06C1","New House Prices","19762","1976Q2","05","Waterford","Euro","12413"
"HSQ06C1","New House Prices","19762","1976Q2","06","Other areas","Euro","15069"
"HSQ06C1","New House Prices","19763","1976Q3","-","National","Euro","15549"
"HSQ06C1","New House Prices","19763","1976Q3","01","Dublin","Euro","15603"
"HSQ06C1","New House Prices","19763","1976Q3","02","Cork","Euro","14725"
"HSQ06C1","New House Prices","19763","1976Q3","03","Galway","Euro","17370"
"HSQ06C1","New House Prices","19763","1976Q3","04","Limerick","Euro","15048"
"HSQ06C1","New House Prices","19763","1976Q3","05","Waterford","Euro","13441"
"HSQ06C1","New House Prices","19763","1976Q3","06","Other areas","Euro","15592"
"HSQ06C1","New House Prices","19764","1976Q4","-","National","Euro","17130"
"HSQ06C1","New House Prices","19764","1976Q4","01","Dublin","Euro","17770"
"HSQ06C1","New House Prices","19764","1976Q4","02","Cork","Euro","16535"
"HSQ06C1","New House Prices","19764","1976Q4","03","Galway","Euro","19305"
"HSQ06C1","New House Prices","19764","1976Q4","04","Limerick","Euro","16385"
"HSQ06C1","New House Prices","19764","1976Q4","05","Waterford","Euro","14898"
"HSQ06C1","New House Prices","19764","1976Q4","06","Other areas","Euro","16425"
"HSQ06C1","New House Prices","19771","1977Q1","-","National","Euro","17149"
"HSQ06C1","New House Prices","19771","1977Q1","01","Dublin","Euro","17247"
"HSQ06C1","New House Prices","19771","1977Q1","02","Cork","Euro","16650"
"HSQ06C1","New House Prices","19771","1977Q1","03","Galway","Euro","20337"
"HSQ06C1","New House Prices","19771","1977Q1","04","Limerick","Euro","18642"
"HSQ06C1","New House Prices","19771","1977Q1","05","Waterford","Euro","16062"
"HSQ06C1","New House Prices","19771","1977Q1","06","Other areas","Euro","16734"
"HSQ06C1","New House Prices","19772","1977Q2","-","National","Euro","18165"
"HSQ06C1","New House Prices","19772","1977Q2","01","Dublin","Euro","18317"
"HSQ06C1","New House Prices","19772","1977Q2","02","Cork","Euro","17991"
"HSQ06C1","New House Prices","19772","1977Q2","03","Galway","Euro","20627"
"HSQ06C1","New House Prices","19772","1977Q2","04","Limerick","Euro","20662"
"HSQ06C1","New House Prices","19772","1977Q2","05","Waterford","Euro","16213"
"HSQ06C1","New House Prices","19772","1977Q2","06","Other areas","Euro","17614"
"HSQ06C1","New House Prices","19773","1977Q3","-","National","Euro","19436"
"HSQ06C1","New House Prices","19773","1977Q3","01","Dublin","Euro","19934"
"HSQ06C1","New House Prices","19773","1977Q3","02","Cork","Euro","19619"
"HSQ06C1","New House Prices","19773","1977Q3","03","Galway","Euro","21702"
"HSQ06C1","New House Prices","19773","1977Q3","04","Limerick","Euro","20708"
"HSQ06C1","New House Prices","19773","1977Q3","05","Waterford","Euro","17847"
"HSQ06C1","New House Prices","19773","1977Q3","06","Other areas","Euro","18411"
"HSQ06C1","New House Prices","19774","1977Q4","-","National","Euro","20042"
"HSQ06C1","New House Prices","19774","1977Q4","01","Dublin","Euro","20469"
"HSQ06C1","New House Prices","19774","1977Q4","02","Cork","Euro","20405"
"HSQ06C1","New House Prices","19774","1977Q4","03","Galway","Euro","24089"
"HSQ06C1","New House Prices","19774","1977Q4","04","Limerick","Euro","19909"
"HSQ06C1","New House Prices","19774","1977Q4","05","Waterford","Euro","18906"
"HSQ06C1","New House Prices","19774","1977Q4","06","Other areas","Euro","19046"
"HSQ06C1","New House Prices","19781","1978Q1","-","National","Euro","22388"
"HSQ06C1","New House Prices","19781","1978Q1","01","Dublin","Euro","23356"
"HSQ06C1","New House Prices","19781","1978Q1","02","Cork","Euro","21158"
"HSQ06C1","New House Prices","19781","1978Q1","03","Galway","Euro","26146"
"HSQ06C1","New House Prices","19781","1978Q1","04","Limerick","Euro","22850"
"HSQ06C1","New House Prices","19781","1978Q1","05","Waterford","Euro","19517"
"HSQ06C1","New House Prices","19781","1978Q1","06","Other areas","Euro","20970"
"HSQ06C1","New House Prices","19782","1978Q2","-","National","Euro","24267"
"HSQ06C1","New House Prices","19782","1978Q2","01","Dublin","Euro","26484"
"HSQ06C1","New House Prices","19782","1978Q2","02","Cork","Euro","22505"
"HSQ06C1","New House Prices","19782","1978Q2","03","Galway","Euro","24356"
"HSQ06C1","New House Prices","19782","1978Q2","04","Limerick","Euro","22832"
"HSQ06C1","New House Prices","19782","1978Q2","05","Waterford","Euro","19755"
"HSQ06C1","New House Prices","19782","1978Q2","06","Other areas","Euro","22855"
"HSQ06C1","New House Prices","19783","1978Q3","-","National","Euro","25093"
"HSQ06C1","New House Prices","19783","1978Q3","01","Dublin","Euro","26969"
"HSQ06C1","New House Prices","19783","1978Q3","02","Cork","Euro","23533"
"HSQ06C1","New House Prices","19783","1978Q3","03","Galway","Euro","27026"
"HSQ06C1","New House Prices","19783","1978Q3","04","Limerick","Euro","23112"
"HSQ06C1","New House Prices","19783","1978Q3","05","Waterford","Euro","22679"
"HSQ06C1","New House Prices","19783","1978Q3","06","Other areas","Euro","23907"
"HSQ06C1","New House Prices","19784","1978Q4","-","National","Euro","25030"
"HSQ06C1","New House Prices","19784","1978Q4","01","Dublin","Euro","27864"
"HSQ06C1","New House Prices","19784","1978Q4","02","Cork","Euro","22699"
"HSQ06C1","New House Prices","19784","1978Q4","03","Galway","Euro","27322"
"HSQ06C1","New House Prices","19784","1978Q4","04","Limerick","Euro","23564"
"HSQ06C1","New House Prices","19784","1978Q4","05","Waterford","Euro","23249"
"HSQ06C1","New House Prices","19784","1978Q4","06","Other areas","Euro","23738"
"HSQ06C1","New House Prices","19791","1979Q1","-","National","Euro","27176"
"HSQ06C1","New House Prices","19791","1979Q1","01","Dublin","Euro","29803"
"HSQ06C1","New House Prices","19791","1979Q1","02","Cork","Euro","26294"
"HSQ06C1","New House Prices","19791","1979Q1","03","Galway","Euro","28327"
"HSQ06C1","New House Prices","19791","1979Q1","04","Limerick","Euro","26049"
"HSQ06C1","New House Prices","19791","1979Q1","05","Waterford","Euro","22750"
"HSQ06C1","New House Prices","19791","1979Q1","06","Other areas","Euro","25057"
"HSQ06C1","New House Prices","19792","1979Q2","-","National","Euro","30314"
"HSQ06C1","New House Prices","19792","1979Q2","01","Dublin","Euro","33717"
"HSQ06C1","New House Prices","19792","1979Q2","02","Cork","Euro","30211"
"HSQ06C1","New House Prices","19792","1979Q2","03","Galway","Euro","30078"
"HSQ06C1","New House Prices","19792","1979Q2","04","Limerick","Euro","30290"
"HSQ06C1","New House Prices","19792","1979Q2","05","Waterford","Euro","26705"
"HSQ06C1","New House Prices","19792","1979Q2","06","Other areas","Euro","27764"
"HSQ06C1","New House Prices","19793","1979Q3","-","National","Euro","30240"
"HSQ06C1","New House Prices","19793","1979Q3","01","Dublin","Euro","32449"
"HSQ06C1","New House Prices","19793","1979Q3","02","Cork","Euro","30571"
"HSQ06C1","New House Prices","19793","1979Q3","03","Galway","Euro","33460"
"HSQ06C1","New House Prices","19793","1979Q3","04","Limerick","Euro","34345"
"HSQ06C1","New House Prices","19793","1979Q3","05","Waterford","Euro","33096"
"HSQ06C1","New House Prices","19793","1979Q3","06","Other areas","Euro","27624"
"HSQ06C1","New House Prices","19794","1979Q4","-","National","Euro","30078"
"HSQ06C1","New House Prices","19794","1979Q4","01","Dublin","Euro","32312"
"HSQ06C1","New House Prices","19794","1979Q4","02","Cork","Euro","30076"
"HSQ06C1","New House Prices","19794","1979Q4","03","Galway","Euro","29299"
"HSQ06C1","New House Prices","19794","1979Q4","04","Limerick","Euro","33651"
"HSQ06C1","New House Prices","19794","1979Q4","05","Waterford","Euro","29252"
"HSQ06C1","New House Prices","19794","1979Q4","06","Other areas","Euro","28150"
"HSQ06C1","New House Prices","19801","1980Q1","-","National","Euro","32512"
"HSQ06C1","New House Prices","19801","1980Q1","01","Dublin","Euro","34924"
"HSQ06C1","New House Prices","19801","1980Q1","02","Cork","Euro","34590"
"HSQ06C1","New House Prices","19801","1980Q1","03","Galway","Euro","33390"
"HSQ06C1","New House Prices","19801","1980Q1","04","Limerick","Euro","32964"
"HSQ06C1","New House Prices","19801","1980Q1","05","Waterford","Euro","29106"
"HSQ06C1","New House Prices","19801","1980Q1","06","Other areas","Euro","29742"
"HSQ06C1","New House Prices","19802","1980Q2","-","National","Euro","34119"
"HSQ06C1","New House Prices","19802","1980Q2","01","Dublin","Euro","37098"
"HSQ06C1","New House Prices","19802","1980Q2","02","Cork","Euro","33813"
"HSQ06C1","New House Prices","19802","1980Q2","03","Galway","Euro","32094"
"HSQ06C1","New House Prices","19802","1980Q2","04","Limerick","Euro","32488"
"HSQ06C1","New House Prices","19802","1980Q2","05","Waterford","Euro","30264"
"HSQ06C1","New House Prices","19802","1980Q2","06","Other areas","Euro","31721"
"HSQ06C1","New House Prices","19803","1980Q3","-","National","Euro","35917"
"HSQ06C1","New House Prices","19803","1980Q3","01","Dublin","Euro","38985"
"HSQ06C1","New House Prices","19803","1980Q3","02","Cork","Euro","34682"
"HSQ06C1","New House Prices","19803","1980Q3","03","Galway","Euro","33359"
"HSQ06C1","New House Prices","19803","1980Q3","04","Limerick","Euro","33605"
"HSQ06C1","New House Prices","19803","1980Q3","05","Waterford","Euro","36356"
"HSQ06C1","New House Prices","19803","1980Q3","06","Other areas","Euro","34214"
"HSQ06C1","New House Prices","19804","1980Q4","-","National","Euro","37643"
"HSQ06C1","New House Prices","19804","1980Q4","01","Dublin","Euro","40280"
"HSQ06C1","New House Prices","19804","1980Q4","02","Cork","Euro","35327"
"HSQ06C1","New House Prices","19804","1980Q4","03","Galway","Euro","37441"
"HSQ06C1","New House Prices","19804","1980Q4","04","Limerick","Euro","39203"
"HSQ06C1","New House Prices","19804","1980Q4","05","Waterford","Euro","32862"
"HSQ06C1","New House Prices","19804","1980Q4","06","Other areas","Euro","35643"
"HSQ06C1","New House Prices","19811","1981Q1","-","National","Euro","38567"
"HSQ06C1","New House Prices","19811","1981Q1","01","Dublin","Euro","40766"
"HSQ06C1","New House Prices","19811","1981Q1","02","Cork","Euro","35849"
"HSQ06C1","New House Prices","19811","1981Q1","03","Galway","Euro","38500"
"HSQ06C1","New House Prices","19811","1981Q1","04","Limerick","Euro","40736"
"HSQ06C1","New House Prices","19811","1981Q1","05","Waterford","Euro","34289"
"HSQ06C1","New House Prices","19811","1981Q1","06","Other areas","Euro","36835"
"HSQ06C1","New House Prices","19812","1981Q2","-","National","Euro","39778"
"HSQ06C1","New House Prices","19812","1981Q2","01","Dublin","Euro","44208"
"HSQ06C1","New House Prices","19812","1981Q2","02","Cork","Euro","37417"
"HSQ06C1","New House Prices","19812","1981Q2","03","Galway","Euro","35367"
"HSQ06C1","New House Prices","19812","1981Q2","04","Limerick","Euro","37796"
"HSQ06C1","New House Prices","19812","1981Q2","05","Waterford","Euro","32787"
"HSQ06C1","New House Prices","19812","1981Q2","06","Other areas","Euro","37583"
"HSQ06C1","New House Prices","19813","1981Q3","-","National","Euro","41169"
"HSQ06C1","New House Prices","19813","1981Q3","01","Dublin","Euro","46830"
"HSQ06C1","New House Prices","19813","1981Q3","02","Cork","Euro","37290"
"HSQ06C1","New House Prices","19813","1981Q3","03","Galway","Euro","40343"
"HSQ06C1","New House Prices","19813","1981Q3","04","Limerick","Euro","42877"
"HSQ06C1","New House Prices","19813","1981Q3","05","Waterford","Euro","37676"
"HSQ06C1","New House Prices","19813","1981Q3","06","Other areas","Euro","37442"
"HSQ06C1","New House Prices","19814","1981Q4","-","National","Euro","42282"
"HSQ06C1","New House Prices","19814","1981Q4","01","Dublin","Euro","48414"
"HSQ06C1","New House Prices","19814","1981Q4","02","Cork","Euro","35958"
"HSQ06C1","New House Prices","19814","1981Q4","03","Galway","Euro","43263"
"HSQ06C1","New House Prices","19814","1981Q4","04","Limerick","Euro","44451"
"HSQ06C1","New House Prices","19814","1981Q4","05","Waterford","Euro","34305"
"HSQ06C1","New House Prices","19814","1981Q4","06","Other areas","Euro","39905"
"HSQ06C1","New House Prices","19821","1982Q1","-","National","Euro","43120"
"HSQ06C1","New House Prices","19821","1982Q1","01","Dublin","Euro","49440"
"HSQ06C1","New House Prices","19821","1982Q1","02","Cork","Euro","38798"
"HSQ06C1","New House Prices","19821","1982Q1","03","Galway","Euro","45868"
"HSQ06C1","New House Prices","19821","1982Q1","04","Limerick","Euro","35663"
"HSQ06C1","New House Prices","19821","1982Q1","05","Waterford","Euro","39292"
"HSQ06C1","New House Prices","19821","1982Q1","06","Other areas","Euro","41580"
"HSQ06C1","New House Prices","19822","1982Q2","-","National","Euro","44239"
"HSQ06C1","New House Prices","19822","1982Q2","01","Dublin","Euro","50174"
"HSQ06C1","New House Prices","19822","1982Q2","02","Cork","Euro","37216"
"HSQ06C1","New House Prices","19822","1982Q2","03","Galway","Euro","47025"
"HSQ06C1","New House Prices","19822","1982Q2","04","Limerick","Euro","42126"
"HSQ06C1","New House Prices","19822","1982Q2","05","Waterford","Euro","42861"
"HSQ06C1","New House Prices","19822","1982Q2","06","Other areas","Euro","43099"
"HSQ06C1","New House Prices","19823","1982Q3","-","National","Euro","44075"
"HSQ06C1","New House Prices","19823","1982Q3","01","Dublin","Euro","48649"
"HSQ06C1","New House Prices","19823","1982Q3","02","Cork","Euro","37987"
"HSQ06C1","New House Prices","19823","1982Q3","03","Galway","Euro","44215"
"HSQ06C1","New House Prices","19823","1982Q3","04","Limerick","Euro","41043"
"HSQ06C1","New House Prices","19823","1982Q3","05","Waterford","Euro","40097"
"HSQ06C1","New House Prices","19823","1982Q3","06","Other areas","Euro","43353"
"HSQ06C1","New House Prices","19824","1982Q4","-","National","Euro","44695"
"HSQ06C1","New House Prices","19824","1982Q4","01","Dublin","Euro","47731"
"HSQ06C1","New House Prices","19824","1982Q4","02","Cork","Euro","38731"
"HSQ06C1","New House Prices","19824","1982Q4","03","Galway","Euro","45528"
"HSQ06C1","New House Prices","19824","1982Q4","04","Limerick","Euro","43207"
"HSQ06C1","New House Prices","19824","1982Q4","05","Waterford","Euro","45361"
"HSQ06C1","New House Prices","19824","1982Q4","06","Other areas","Euro","43388"
"HSQ06C1","New House Prices","19831","1983Q1","-","National","Euro","44621"
"HSQ06C1","New House Prices","19831","1983Q1","01","Dublin","Euro","48858"
"HSQ06C1","New House Prices","19831","1983Q1","02","Cork","Euro","40078"
"HSQ06C1","New House Prices","19831","1983Q1","03","Galway","Euro","43268"
"HSQ06C1","New House Prices","19831","1983Q1","04","Limerick","Euro","41363"
"HSQ06C1","New House Prices","19831","1983Q1","05","Waterford","Euro","45699"
"HSQ06C1","New House Prices","19831","1983Q1","06","Other areas","Euro","43097"
"HSQ06C1","New House Prices","19832","1983Q2","-","National","Euro","44341"
"HSQ06C1","New House Prices","19832","1983Q2","01","Dublin","Euro","46830"
"HSQ06C1","New House Prices","19832","1983Q2","02","Cork","Euro","39703"
"HSQ06C1","New House Prices","19832","1983Q2","03","Galway","Euro","47688"
"HSQ06C1","New House Prices","19832","1983Q2","04","Limerick","Euro","41301"
"HSQ06C1","New House Prices","19832","1983Q2","05","Waterford","Euro","40304"
"HSQ06C1","New House Prices","19832","1983Q2","06","Other areas","Euro","44159"
"HSQ06C1","New House Prices","19833","1983Q3","-","National","Euro","45057"
"HSQ06C1","New House Prices","19833","1983Q3","01","Dublin","Euro","49422"
"HSQ06C1","New House Prices","19833","1983Q3","02","Cork","Euro","38703"
"HSQ06C1","New House Prices","19833","1983Q3","03","Galway","Euro","46881"
"HSQ06C1","New House Prices","19833","1983Q3","04","Limerick","Euro","41664"
"HSQ06C1","New House Prices","19833","1983Q3","05","Waterford","Euro","43664"
"HSQ06C1","New House Prices","19833","1983Q3","06","Other areas","Euro","44122"
"HSQ06C1","New House Prices","19834","1983Q4","-","National","Euro","43774"
"HSQ06C1","New House Prices","19834","1983Q4","01","Dublin","Euro","47623"
"HSQ06C1","New House Prices","19834","1983Q4","02","Cork","Euro","38417"
"HSQ06C1","New House Prices","19834","1983Q4","03","Galway","Euro","44707"
"HSQ06C1","New House Prices","19834","1983Q4","04","Limerick","Euro","41400"
"HSQ06C1","New House Prices","19834","1983Q4","05","Waterford","Euro","38773"
"HSQ06C1","New House Prices","19834","1983Q4","06","Other areas","Euro","42494"
"HSQ06C1","New House Prices","19841","1984Q1","-","National","Euro","45017"
"HSQ06C1","New House Prices","19841","1984Q1","01","Dublin","Euro","49280"
"HSQ06C1","New House Prices","19841","1984Q1","02","Cork","Euro","43030"
"HSQ06C1","New House Prices","19841","1984Q1","03","Galway","Euro","45961"
"HSQ06C1","New House Prices","19841","1984Q1","04","Limerick","Euro","42177"
"HSQ06C1","New House Prices","19841","1984Q1","05","Waterford","Euro","41258"
"HSQ06C1","New House Prices","19841","1984Q1","06","Other areas","Euro","41702"
"HSQ06C1","New House Prices","19842","1984Q2","-","National","Euro","45492"
"HSQ06C1","New House Prices","19842","1984Q2","01","Dublin","Euro","49464"
"HSQ06C1","New House Prices","19842","1984Q2","02","Cork","Euro","39731"
"HSQ06C1","New House Prices","19842","1984Q2","03","Galway","Euro","47090"
"HSQ06C1","New House Prices","19842","1984Q2","04","Limerick","Euro","40484"
"HSQ06C1","New House Prices","19842","1984Q2","05","Waterford","Euro","43716"
"HSQ06C1","New House Prices","19842","1984Q2","06","Other areas","Euro","43909"
"HSQ06C1","New House Prices","19843","1984Q3","-","National","Euro","45843"
"HSQ06C1","New House Prices","19843","1984Q3","01","Dublin","Euro","48924"
"HSQ06C1","New House Prices","19843","1984Q3","02","Cork","Euro","40045"
"HSQ06C1","New House Prices","19843","1984Q3","03","Galway","Euro","43282"
"HSQ06C1","New House Prices","19843","1984Q3","04","Limerick","Euro","43497"
"HSQ06C1","New House Prices","19843","1984Q3","05","Waterford","Euro","44932"
"HSQ06C1","New House Prices","19843","1984Q3","06","Other areas","Euro","45279"
"HSQ06C1","New House Prices","19844","1984Q4","-","National","Euro","45453"
"HSQ06C1","New House Prices","19844","1984Q4","01","Dublin","Euro","47503"
"HSQ06C1","New House Prices","19844","1984Q4","02","Cork","Euro","41779"
"HSQ06C1","New House Prices","19844","1984Q4","03","Galway","Euro","47869"
"HSQ06C1","New House Prices","19844","1984Q4","04","Limerick","Euro","45892"
"HSQ06C1","New House Prices","19844","1984Q4","05","Waterford","Euro","44534"
"HSQ06C1","New House Prices","19844","1984Q4","06","Other areas","Euro","44109"
"HSQ06C1","New House Prices","19851","1985Q1","-","National","Euro","45667"
"HSQ06C1","New House Prices","19851","1985Q1","01","Dublin","Euro","47783"
"HSQ06C1","New House Prices","19851","1985Q1","02","Cork","Euro","41330"
"HSQ06C1","New House Prices","19851","1985Q1","03","Galway","Euro","47694"
"HSQ06C1","New House Prices","19851","1985Q1","04","Limerick","Euro","43077"
"HSQ06C1","New House Prices","19851","1985Q1","05","Waterford","Euro","45462"
"HSQ06C1","New House Prices","19851","1985Q1","06","Other areas","Euro","44629"
"HSQ06C1","New House Prices","19852","1985Q2","-","National","Euro","46404"
"HSQ06C1","New House Prices","19852","1985Q2","01","Dublin","Euro","49766"
"HSQ06C1","New House Prices","19852","1985Q2","02","Cork","Euro","41843"
"HSQ06C1","New House Prices","19852","1985Q2","03","Galway","Euro","47455"
"HSQ06C1","New House Prices","19852","1985Q2","04","Limerick","Euro","42892"
"HSQ06C1","New House Prices","19852","1985Q2","05","Waterford","Euro","42958"
"HSQ06C1","New House Prices","19852","1985Q2","06","Other areas","Euro","45049"
"HSQ06C1","New House Prices","19853","1985Q3","-","National","Euro","46636"
"HSQ06C1","New House Prices","19853","1985Q3","01","Dublin","Euro","49725"
"HSQ06C1","New House Prices","19853","1985Q3","02","Cork","Euro","42292"
"HSQ06C1","New House Prices","19853","1985Q3","03","Galway","Euro","51292"
"HSQ06C1","New House Prices","19853","1985Q3","04","Limerick","Euro","46899"
"HSQ06C1","New House Prices","19853","1985Q3","05","Waterford","Euro","41311"
"HSQ06C1","New House Prices","19853","1985Q3","06","Other areas","Euro","44040"
"HSQ06C1","New House Prices","19854","1985Q4","-","National","Euro","47689"
"HSQ06C1","New House Prices","19854","1985Q4","01","Dublin","Euro","49698"
"HSQ06C1","New House Prices","19854","1985Q4","02","Cork","Euro","46122"
"HSQ06C1","New House Prices","19854","1985Q4","03","Galway","Euro","49201"
"HSQ06C1","New House Prices","19854","1985Q4","04","Limerick","Euro","46119"
"HSQ06C1","New House Prices","19854","1985Q4","05","Waterford","Euro","44889"
"HSQ06C1","New House Prices","19854","1985Q4","06","Other areas","Euro","46201"
"HSQ06C1","New House Prices","19861","1986Q1","-","National","Euro","47201"
"HSQ06C1","New House Prices","19861","1986Q1","01","Dublin","Euro","49562"
"HSQ06C1","New House Prices","19861","1986Q1","02","Cork","Euro","41091"
"HSQ06C1","New House Prices","19861","1986Q1","03","Galway","Euro","49586"
"HSQ06C1","New House Prices","19861","1986Q1","04","Limerick","Euro","46396"
"HSQ06C1","New House Prices","19861","1986Q1","05","Waterford","Euro","53370"
"HSQ06C1","New House Prices","19861","1986Q1","06","Other areas","Euro","45777"
"HSQ06C1","New House Prices","19862","1986Q2","-","National","Euro","48373"
"HSQ06C1","New House Prices","19862","1986Q2","01","Dublin","Euro","50758"
"HSQ06C1","New House Prices","19862","1986Q2","02","Cork","Euro","43789"
"HSQ06C1","New House Prices","19862","1986Q2","03","Galway","Euro","52599"
"HSQ06C1","New House Prices","19862","1986Q2","04","Limerick","Euro","48669"
"HSQ06C1","New House Prices","19862","1986Q2","05","Waterford","Euro","49625"
"HSQ06C1","New House Prices","19862","1986Q2","06","Other areas","Euro","46354"
"HSQ06C1","New House Prices","19863","1986Q3","-","National","Euro","49030"
"HSQ06C1","New House Prices","19863","1986Q3","01","Dublin","Euro","51502"
"HSQ06C1","New House Prices","19863","1986Q3","02","Cork","Euro","44243"
"HSQ06C1","New House Prices","19863","1986Q3","03","Galway","Euro","50993"
"HSQ06C1","New House Prices","19863","1986Q3","04","Limerick","Euro","48529"
"HSQ06C1","New House Prices","19863","1986Q3","05","Waterford","Euro","46533"
"HSQ06C1","New House Prices","19863","1986Q3","06","Other areas","Euro","47790"
"HSQ06C1","New House Prices","19864","1986Q4","-","National","Euro","48350"
"HSQ06C1","New House Prices","19864","1986Q4","01","Dublin","Euro","51575"
"HSQ06C1","New House Prices","19864","1986Q4","02","Cork","Euro","45450"
"HSQ06C1","New House Prices","19864","1986Q4","03","Galway","Euro","47790"
"HSQ06C1","New House Prices","19864","1986Q4","04","Limerick","Euro","45102"
"HSQ06C1","New House Prices","19864","1986Q4","05","Waterford","Euro","46216"
"HSQ06C1","New House Prices","19864","1986Q4","06","Other areas","Euro","45992"
"HSQ06C1","New House Prices","19871","1987Q1","-","National","Euro","47994"
"HSQ06C1","New House Prices","19871","1987Q1","01","Dublin","Euro","48923"
"HSQ06C1","New House Prices","19871","1987Q1","02","Cork","Euro","44729"
"HSQ06C1","New House Prices","19871","1987Q1","03","Galway","Euro","46855"
"HSQ06C1","New House Prices","19871","1987Q1","04","Limerick","Euro","47586"
"HSQ06C1","New House Prices","19871","1987Q1","05","Waterford","Euro","46438"
"HSQ06C1","New House Prices","19871","1987Q1","06","Other areas","Euro","46612"
"HSQ06C1","New House Prices","19872","1987Q2","-","National","Euro","47482"
"HSQ06C1","New House Prices","19872","1987Q2","01","Dublin","Euro","50548"
"HSQ06C1","New House Prices","19872","1987Q2","02","Cork","Euro","44911"
"HSQ06C1","New House Prices","19872","1987Q2","03","Galway","Euro","48193"
"HSQ06C1","New House Prices","19872","1987Q2","04","Limerick","Euro","45802"
"HSQ06C1","New House Prices","19872","1987Q2","05","Waterford","Euro","45741"
"HSQ06C1","New House Prices","19872","1987Q2","06","Other areas","Euro","45071"
"HSQ06C1","New House Prices","19873","1987Q3","-","National","Euro","48946"
"HSQ06C1","New House Prices","19873","1987Q3","01","Dublin","Euro","52676"
"HSQ06C1","New House Prices","19873","1987Q3","02","Cork","Euro","45292"
"HSQ06C1","New House Prices","19873","1987Q3","03","Galway","Euro","48714"
"HSQ06C1","New House Prices","19873","1987Q3","04","Limerick","Euro","50137"
"HSQ06C1","New House Prices","19873","1987Q3","05","Waterford","Euro","49738"
"HSQ06C1","New House Prices","19873","1987Q3","06","Other areas","Euro","45971"
"HSQ06C1","New House Prices","19874","1987Q4","-","National","Euro","51511"
"HSQ06C1","New House Prices","19874","1987Q4","01","Dublin","Euro","51925"
"HSQ06C1","New House Prices","19874","1987Q4","02","Cork","Euro","50495"
"HSQ06C1","New House Prices","19874","1987Q4","03","Galway","Euro","49560"
"HSQ06C1","New House Prices","19874","1987Q4","04","Limerick","Euro","48594"
"HSQ06C1","New House Prices","19874","1987Q4","05","Waterford","Euro","48217"
"HSQ06C1","New House Prices","19874","1987Q4","06","Other areas","Euro","45398"
